location_id,hours
Home-Rocklin110,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-Rutherford152,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-SanAntonio185,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-SanDiego111,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-SanDiego112,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-Sandy186,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-SanFrancisco113,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-SantaClara114,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-Tarrytown162,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-Washington189,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Home-Washington190,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Albany157,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Albuquerque156,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Austin180,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Austin181,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Bloomington142,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Bozeman146,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Bozeman147,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Brookfield191,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Burlington140,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Chicago130,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Chicago131,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Columbus168,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Conshohocken178,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Cordova179,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Corvallis170,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-CulverCity102,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Denver117,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Denver118,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-ElSegundo103,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Encino104,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Fairborn169,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Fullerton105,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Independence167,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Indianapolis133,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Irvine107,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Irving182,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Itasca132,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Lexington135,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Mineola160,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-MoonTownship177,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-MtLaurel154,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-NewYork158,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-NewYork159,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Onalaska192,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Orlando123,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-OverlandPark134,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Princeton155,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-RedwoodShores106,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Stamford119,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Sunrise124,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Tallahassee125,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Tampa126,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Troy141,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
Store-Tucson101,Mon - Sat 10AM - 7PM Sun 11AM - 6 PM
